date_tirage;regime;jour;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;gagnants_5b_2e;gagnants_5b_1e;gagnants_5b_0e;gagnants_4b_2e;gagnants_4b_1e;gagnants_4b_0e;gagnants_3b_2e;gagnants_3b_1e;gagnants_3b_0e;gagnants_2b_2e;gagnants_2b_1e;gagnants_2b_0e;gagnants_1b_2e;rapport_5b_2e;rapport_5b_1e;rapport_5b_0e;rapport_4b_2e;rapport_4b_1e;rapport_4b_0e;rapport_3b_2e;rapport_3b_1e;rapport_3b_0e;rapport_2b_2e;rapport_2b_1e;rapport_2b_0e;rapport_1b_2e;gagnants_non_publies;id_fdj;source
2004-11-05;2004-2011 : 50 boules / 9 etoiles;VENDREDI;25;42;49;19;6;1;7;0;0;2;36;637;958;1961;29878;45614;29744;459329;;158141;0.0;0.0;918290.1;8055.1;303.4;141.2;98.5;32.9;19.9;28.5;10.1;;12.3;False;2004039;euromillions.csv
2004-11-12;2004-2011 : 50 boules / 9 etoiles;VENDREDI;12;13;4;32;11;9;3;0;4;6;69;1004;1654;3092;48478;74587;41634;652155;;204365;0.0;384714.2;72783.7;4520.7;207.1;88.0;67.2;21.8;13.1;21.9;7.6;;10.2;False;2004040;euromillions.csv
2004-11-19;2004-2011 : 50 boules / 9 etoiles;VENDREDI;37;29;34;18;1;6;2;0;0;3;54;736;1192;3032;35974;57097;48395;574251;;287906;0.0;0.0;807419.9;7082.6;346.4;149.7;84.0;36.1;20.9;23.1;10.6;;8.9;False;2004041;euromillions.csv
2004-11-26;2004-2011 : 50 boules / 9 etoiles;VENDREDI;24;1;34;4;36;8;6;1;5;8;76;1049;1765;3506;53743;87104;53428;805386;;287058;43756502.0;492365.3;87328.3;6566.0;317.1;131.9;94.8;31.5;17.9;27.3;9.9;;11.7;False;2004042;euromillions.csv
2004-12-03;2004-2011 : 50 boules / 9 etoiles;VENDREDI;15;42;11;1;49;4;3;0;4;4;46;692;1070;2019;35174;54648;33954;561512;;186692;0.0;400964.3;113787.1;7067.5;313.2;141.7;107.3;31.4;18.6;28.0;9.2;;11.7;False;2004043;euromillions.csv
2004-12-10;2004-2011 : 50 boules / 9 etoiles;VENDREDI;3;13;43;1;16;7;2;0;2;8;68;960;1637;3473;50766;79864;47651;657275;;240983;0.0;822799.3;58374.2;4905.4;231.6;95.0;64.0;22.3;13.0;20.5;8.1;;9.3;False;2004044;euromillions.csv
2004-12-17;2004-2011 : 50 boules / 9 etoiles;VENDREDI;49;22;19;15;46;9;2;1;6;2;48;741;1122;2323;36694;55916;36898;604315;;203660;26215627.0;298427.7;254066.8;7561.5;326.5;150.9;104.1;33.6;20.3;28.8;9.6;;11.9;False;2004045;euromillions.csv
2004-12-24;2004-2011 : 50 boules / 9 etoiles;VENDREDI;3;27;29;4;37;6;5;1;0;5;54;817;1155;2517;43118;57468;39186;681686;;205382;10000000.0;0.0;431942.2;6314.9;278.2;137.7;90.3;26.8;18.5;25.5;8.0;;11.1;False;2004046;euromillions.csv
2004-12-31;2004-2011 : 50 boules / 9 etoiles;VENDREDI;8;7;47;25;24;8;9;0;8;8;42;780;1224;2039;39329;59237;30009;617491;;156286;0.0;213961.6;60718.8;8261.0;296.5;132.2;113.4;29.9;18.3;33.9;8.9;;14.9;False;2004047;euromillions.csv
2005-01-07;2004-2011 : 50 boules / 9 etoiles;VENDREDI;50;27;47;3;23;3;2;0;5;1;49;858;1177;2032;41342;52455;31289;613595;;158116;0.0;318258.5;451583.0;6582.8;250.6;127.8;105.8;26.5;19.2;30.2;8.4;;13.7;False;2005001;euromillions.csv
2005-01-14;2004-2011 : 50 boules / 9 etoiles;VENDREDI;11;14;29;6;19;3;1;2;7;10;78;1376;2139;3202;54845;86756;42445;700935;;203237;13003681.0;253545.6;50366.5;4612.3;174.3;78.4;74.9;22.3;12.9;24.8;8.2;;11.9;False;2005002;euromillions.csv
2005-01-21;2004-2011 : 50 boules / 9 etoiles;VENDREDI;12;14;10;26;24;8;5;0;19;16;164;1664;2233;4895;55286;74141;59755;664418;;276854;0.0;80527.5;27137.2;1891.0;124.2;64.8;42.2;19.0;13.1;15.2;7.4;;7.5;False;2005003;euromillions.csv
2005-01-28;2004-2011 : 50 boules / 9 etoiles;VENDREDI;26;21;7;43;45;5;7;0;6;3;72;802;890;3867;39398;46692;59278;604496;;298174;0.0;263505.2;149557.0;4451.1;266.4;168.0;55.2;27.6;21.5;15.8;8.4;;7.2;False;2005004;euromillions.csv
2005-02-04;2004-2011 : 50 boules / 9 etoiles;VENDREDI;11;1;40;30;8;7;8;0;1;7;55;1162;1684;2363;49048;73635;33511;666511;;165573;0.0;1738214.5;70468.1;6406.1;202.1;97.6;99.4;24.4;14.9;30.8;8.4;;14.3;False;2005005;euromillions.csv
2005-02-11;2004-2011 : 50 boules / 9 etoiles;VENDREDI;11;13;25;32;50;7;4;1;6;9;92;1166;1676;3841;52069;79867;52393;733118;;263612;34776948.0;331257.5;62670.3;4379.1;230.3;112.1;69.9;26.3;15.8;22.5;8.7;;10.2;False;2005006;euromillions.csv
2005-02-18;2004-2011 : 50 boules / 9 etoiles;VENDREDI;32;46;20;21;26;8;9;1;1;2;42;521;791;1570;28677;46612;23933;481284;;136043;10000000.0;1544014.8;219083.1;7451.8;400.4;184.6;132.8;37.1;21.0;38.3;10.4;;15.4;False;2005007;euromillions.csv
2005-02-25;2004-2011 : 50 boules / 9 etoiles;VENDREDI;43;3;27;44;30;8;4;0;4;6;45;595;1005;2115;29795;50104;33143;459908;;189642;0.0;375182.4;70980.4;6760.0;340.8;141.2;95.8;34.7;19.0;26.9;10.5;;10.8;False;2005008;euromillions.csv
2005-03-04;2004-2011 : 50 boules / 9 etoiles;VENDREDI;12;32;37;39;24;7;9;0;2;3;63;912;1401;2415;37996;57013;33900;542310;;186629;0.0;821204.7;155363.0;5284.4;243.3;110.8;91.9;29.7;18.2;28.8;9.8;;12.0;False;2005009;euromillions.csv
2005-03-11;2004-2011 : 50 boules / 9 etoiles;VENDREDI;40;12;43;23;8;1;4;0;3;8;55;1010;1855;2366;42636;74524;35906;611614;;190039;0.0;615432.1;65493.6;6804.5;247.0;94.1;105.4;29.8;15.7;30.5;9.7;;13.2;False;2005010;euromillions.csv
2005-03-18;2004-2011 : 50 boules / 9 etoiles;VENDREDI;48;39;23;6;43;5;7;0;2;5;77;944;1223;3892;44757;59959;60619;672573;;345484;0.0;1018790.5;115646.4;5363.9;291.6;157.5;70.7;31.3;21.5;19.9;9.8;;8.0;False;2005011;euromillions.csv
2005-03-25;2004-2011 : 50 boules / 9 etoiles;VENDREDI;29;33;38;4;37;9;6;0;3;2;47;779;1202;2901;46771;72264;44970;717630;;256185;0.0;761236.6;324039.9;9849.2;396.1;179.7;106.3;33.6;20.0;30.1;10.3;;12.1;False;2005012;euromillions.csv
2005-04-01;2004-2011 : 50 boules / 9 etoiles;VENDREDI;26;44;47;25;41;3;7;0;2;2;85;1048;1396;4730;52359;77931;80599;832110;;498976;0.0;1442087.4;409241.0;6878.0;371.9;195.4;82.4;37.9;23.5;21.2;11.2;;7.8;False;2005013;euromillions.csv
2005-04-08;2004-2011 : 50 boules / 9 etoiles;VENDREDI;31;50;25;11;7;3;1;1;10;10;128;1995;3053;5758;87391;137270;79817;1213222;;400597;64040749.0;344680.7;97814.7;5458.4;233.4;106.7;80.8;27.1;15.9;25.6;9.2;;11.7;False;2005014;euromillions.csv
2005-04-15;2004-2011 : 50 boules / 9 etoiles;VENDREDI;6;31;42;38;28;9;3;0;1;5;58;913;1398;2549;40327;62875;38074;599483;;216983;0.0;1885108.7;106992.6;6588.2;279.0;127.5;99.9;32.2;19.0;29.4;10.1;;11.8;False;2005015;euromillions.csv
2005-04-22;2004-2011 : 50 boules / 9 etoiles;VENDREDI;13;10;24;47;3;9;5;2;23;28;110;1511;2142;5018;61602;85606;67466;816173;;321796;11874779.0;84084.4;19600.7;3563.7;172.9;85.4;52.0;21.6;14.3;17.0;7.6;;8.2;False;2005016;euromillions.csv
2005-04-29;2004-2011 : 50 boules / 9 etoiles;VENDREDI;42;35;9;3;39;1;8;0;1;2;43;706;1205;2053;35963;65293;31176;554364;;168303;0.0;1737261.5;246503.3;8189.4;332.5;136.3;114.3;33.2;16.8;33.1;10.1;;14.0;False;2005017;euromillions.csv
2005-05-06;2004-2011 : 50 boules / 9 etoiles;VENDREDI;44;21;12;7;26;6;8;0;6;6;69;1148;2047;3170;49090;86798;45588;682587;;223648;0.0;305299.6;86639.1;5381.3;215.6;84.6;78.0;25.7;13.4;23.8;8.7;;11.1;False;2005018;euromillions.csv
2005-05-13;2004-2011 : 50 boules / 9 etoiles;VENDREDI;12;40;31;17;32;9;2;0;6;4;59;960;1441;3228;51894;78625;48856;794752;;264813;0.0;375587.4;159878.4;7742.2;317.2;147.9;94.3;29.9;18.2;27.4;9.1;;11.6;False;2005019;euromillions.csv
2005-05-20;2004-2011 : 50 boules / 9 etoiles;VENDREDI;28;6;47;7;13;8;5;1;6;7;149;1615;2374;5999;70792;104209;81918;951144;;405456;43020745.0;385427.3;93752.5;3146.0;193.5;92.1;52.0;22.5;14.0;16.7;7.8;;7.7;False;2005020;euromillions.csv
2005-05-27;2004-2011 : 50 boules / 9 etoiles;VENDREDI;50;48;31;2;24;9;4;0;0;9;67;758;1147;2507;33664;52377;37258;509866;;212080;0.0;0.0;248346.9;5267.3;310.3;143.5;93.8;35.6;21.1;27.7;11.0;;11.2;False;2005021;euromillions.csv
2005-06-03;2004-2011 : 50 boules / 9 etoiles;VENDREDI;8;11;3;17;50;5;1;0;10;5;88;1135;1655;3694;53340;75289;54106;755858;;264460;0.0;185245.4;105139.3;4267.0;220.5;105.8;67.7;23.9;15.6;20.3;7.9;;9.5;False;2005022;euromillions.csv
2005-06-10;2004-2011 : 50 boules / 9 etoiles;VENDREDI;37;32;47;7;6;7;1;0;5;4;61;818;1175;3651;49202;67800;41672;664832;;228757;0.0;395836.4;140414.9;6576.8;326.9;159.3;73.2;27.7;18.5;28.2;9.6;;11.8;False;2005023;euromillions.csv
2005-06-17;2004-2011 : 50 boules / 9 etoiles;VENDREDI;8;4;10;21;18;7;1;0;9;19;93;1766;3209;4054;68208;119726;51042;838740;;249349;0.0;241670.0;32486.2;4740.6;166.4;64.1;72.5;21.9;11.5;25.3;8.4;;11.9;False;2005024;euromillions.csv
2005-06-24;2004-2011 : 50 boules / 9 etoiles;VENDREDI;6;15;8;14;45;7;8;0;5;9;64;1186;1641;3300;58689;83955;47324;890457;;235655;0.0;471893.5;74397.6;7472.9;268.8;136.0;96.6;27.7;17.8;29.6;8.5;;13.6;False;2005025;euromillions.csv
2005-07-01;2004-2011 : 50 boules / 9 etoiles;VENDREDI;23;28;5;4;25;3;4;0;9;4;119;1654;2303;4899;77671;109021;72470;1152521;;361831;0.0;317190.3;202530.3;4862.6;233.2;117.2;78.7;25.3;16.6;23.4;8.0;;10.7;False;2005026;euromillions.csv
2005-07-08;2004-2011 : 50 boules / 9 etoiles;VENDREDI;42;46;36;35;49;8;2;0;7;16;101;1402;1950;4336;59808;89362;74153;922699;;460419;0.0;492098.0;61096.6;6913.3;332.0;167.1;107.3;39.6;24.4;27.6;12.1;;10.2;False;2005027;euromillions.csv
2005-07-15;2004-2011 : 50 boules / 9 etoiles;VENDREDI;42;23;1;11;12;6;3;0;10;18;159;2412;3683;7768;114828;170888;108841;1585217;;550489;0.0;416172.7;65612.8;5305.6;233.1;106.8;72.3;24.9;15.4;22.7;8.5;;10.3;False;2005028;euromillions.csv
2005-07-22;2004-2011 : 50 boules / 9 etoiles;VENDREDI;49;14;41;3;48;1;4;0;4;16;105;1740;2741;6051;90208;142700;94253;1446120;;529733;0.0;1228549.9;87160.6;9486.8;381.6;169.5;109.7;37.5;21.8;31.0;11.0;;12.6;False;2005029;euromillions.csv
2005-07-29;2004-2011 : 50 boules / 9 etoiles;VENDREDI;50;3;19;49;26;5;4;1;9;16;192;2814;4259;8648;135082;191623;128348;2101652;;700001;115436126.0;667248.2;106511.7;6339.9;288.3;133.3;93.8;30.6;19.9;27.8;9.2;;11.7;False;2005030;euromillions.csv
2005-08-05;2004-2011 : 50 boules / 9 etoiles;VENDREDI;21;11;2;22;30;4;6;0;8;15;117;1636;2734;5151;64955;110961;73673;876702;;352278;0.0;297880.4;45084.6;4128.6;196.8;82.4;62.5;25.2;13.6;19.2;8.8;;9.2;False;2005031;euromillions.csv
2005-08-12;2004-2011 : 50 boules / 9 etoiles;VENDREDI;37;23;40;15;30;7;9;0;3;10;84;1254;1936;3782;56539;86735;54737;821235;;300004;0.0;805550.9;68580.6;5831.6;260.4;118.0;86.3;29.4;17.6;26.2;9.5;;10.9;False;2005032;euromillions.csv
2005-08-19;2004-2011 : 50 boules / 9 etoiles;VENDREDI;41;29;11;24;31;3;1;0;7;6;55;1224;1891;4312;62371;93143;55997;813868;;280043;0.0;347334.2;114995.7;8960.7;268.4;121.6;76.1;26.8;16.5;25.8;9.6;;11.8;False;2005033;euromillions.csv
2005-08-26;2004-2011 : 50 boules / 9 etoiles;VENDREDI;29;35;40;41;9;6;1;0;3;8;62;952;1550;3128;49596;83359;52134;787911;;296149;0.0;869806.1;92563.8;8531.2;370.4;159.2;112.7;36.2;19.8;29.7;10.7;;12.0;False;2005034;euromillions.csv
2005-09-02;2004-2011 : 50 boules / 9 etoiles;VENDREDI;43;3;4;50;14;3;6;0;0;9;84;1157;1741;3727;57929;89966;65076;950697;;355757;0.0;0.0;401514.0;6792.5;328.7;152.9;102.0;33.4;19.8;25.7;9.6;;10.7;False;2005035;euromillions.csv
2005-09-09;2004-2011 : 50 boules / 9 etoiles;VENDREDI;31;12;50;19;8;7;6;0;8;10;118;1708;2704;4194;75723;116726;59950;1074223;;312411;0.0;375440.1;85235.0;5159.5;237.6;105.0;96.7;27.3;16.3;29.7;9.0;;13.1;False;2005036;euromillions.csv
2005-09-16;2004-2011 : 50 boules / 9 etoiles;VENDREDI;19;38;12;13;21;3;9;1;7;10;140;1929;2989;6252;91259;135569;88129;1266599;;422847;75888514.0;452651.6;89918.6;4587.6;221.9;100.2;68.4;23.9;14.8;21.3;8.1;;10.2;False;2005037;euromillions.csv
2005-09-23;2004-2011 : 50 boules / 9 etoiles;VENDREDI;1;31;34;26;47;4;9;0;2;3;43;787;1289;3040;41936;66844;49066;684024;;284489;0.0;1150014.9;217570.3;10842.3;394.9;168.7;102.2;37.7;21.8;27.8;10.9;;11.0;False;2005038;euromillions.csv
2005-09-30;2004-2011 : 50 boules / 9 etoiles;VENDREDI;11;50;48;6;47;1;6;4;2;5;73;1031;1486;3328;50737;77289;53458;743875;;281360;6266595.0;1188436.3;134903.5;6599.9;311.5;151.3;96.5;32.2;19.5;26.4;10.3;;11.5;False;2005039;euromillions.csv
2005-10-07;2004-2011 : 50 boules / 9 etoiles;VENDREDI;26;44;21;13;2;3;9;2;4;8;97;1200;1854;4222;59069;91671;64063;849847;;301671;7500000.0;560592.5;79543.5;4685.9;252.5;114.4;71.7;26.1;15.5;20.8;8.5;;10.1;False;2005040;euromillions.csv
