date_tirage;regime;position;numero;type
2004-07-02;2004-2011 : 50 boules / 9 etoiles;etoile_2;3;etoile
2004-07-09;2004-2011 : 50 boules / 9 etoiles;boule_5;2;boule
2004-07-09;2004-2011 : 50 boules / 9 etoiles;boule_3;5;boule
2004-07-09;2004-2011 : 50 boules / 9 etoiles;boule_4;12;boule
2004-07-09;2004-2011 : 50 boules / 9 etoiles;boule_2;19;boule
2004-07-09;2004-2011 : 50 boules / 9 etoiles;boule_1;44;boule
2004-07-09;2004-2011 : 50 boules / 9 etoiles;etoile_1;8;etoile
2004-07-09;2004-2011 : 50 boules / 9 etoiles;etoile_2;9;etoile
2004-07-16;2004-2011 : 50 boules / 9 etoiles;boule_4;24;boule
2004-07-16;2004-2011 : 50 boules / 9 etoiles;boule_1;26;boule
2004-07-16;2004-2011 : 50 boules / 9 etoiles;boule_3;31;boule
2004-07-16;2004-2011 : 50 boules / 9 etoiles;boule_5;38;boule
2004-07-16;2004-2011 : 50 boules / 9 etoiles;boule_2;50;boule
2004-07-16;2004-2011 : 50 boules / 9 etoiles;etoile_2;5;etoile
2004-07-16;2004-2011 : 50 boules / 9 etoiles;etoile_1;8;etoile
2004-07-23;2004-2011 : 50 boules / 9 etoiles;boule_3;7;boule
2004-07-23;2004-2011 : 50 boules / 9 etoiles;boule_1;10;boule
2004-07-23;2004-2011 : 50 boules / 9 etoiles;boule_2;27;boule
2004-07-23;2004-2011 : 50 boules / 9 etoiles;boule_5;31;boule
2004-07-23;2004-2011 : 50 boules / 9 etoiles;boule_4;34;boule
2004-07-23;2004-2011 : 50 boules / 9 etoiles;etoile_2;3;etoile
2004-07-23;2004-2011 : 50 boules / 9 etoiles;etoile_1;8;etoile
2004-07-30;2004-2011 : 50 boules / 9 etoiles;boule_3;9;boule
2004-07-30;2004-2011 : 50 boules / 9 etoiles;boule_2;10;boule
2004-07-30;2004-2011 : 50 boules / 9 etoiles;boule_4;19;boule
2004-07-30;2004-2011 : 50 boules / 9 etoiles;boule_5;37;boule
2004-07-30;2004-2011 : 50 boules / 9 etoiles;boule_1;50;boule
2004-07-30;2004-2011 : 50 boules / 9 etoiles;etoile_2;1;etoile
2004-07-30;2004-2011 : 50 boules / 9 etoiles;etoile_1;6;etoile
2004-08-06;2004-2011 : 50 boules / 9 etoiles;boule_1;5;boule
2004-08-06;2004-2011 : 50 boules / 9 etoiles;boule_4;15;boule
2004-08-06;2004-2011 : 50 boules / 9 etoiles;boule_5;24;boule
2004-08-06;2004-2011 : 50 boules / 9 etoiles;boule_2;35;boule
2004-08-06;2004-2011 : 50 boules / 9 etoiles;boule_3;44;boule
2004-08-06;2004-2011 : 50 boules / 9 etoiles;etoile_2;5;etoile
2004-08-06;2004-2011 : 50 boules / 9 etoiles;etoile_1;6;etoile
2004-08-13;2004-2011 : 50 boules / 9 etoiles;boule_1;20;boule
2004-08-13;2004-2011 : 50 boules / 9 etoiles;boule_2;27;boule
2004-08-13;2004-2011 : 50 boules / 9 etoiles;boule_3;41;boule
2004-08-13;2004-2011 : 50 boules / 9 etoiles;boule_4;43;boule
2004-08-13;2004-2011 : 50 boules / 9 etoiles;boule_5;50;boule
2004-08-13;2004-2011 : 50 boules / 9 etoiles;etoile_1;5;etoile
2004-08-13;2004-2011 : 50 boules / 9 etoiles;etoile_2;8;etoile
2004-08-20;2004-2011 : 50 boules / 9 etoiles;boule_5;6;boule
2004-08-20;2004-2011 : 50 boules / 9 etoiles;boule_4;9;boule
2004-08-20;2004-2011 : 50 boules / 9 etoiles;boule_2;10;boule
2004-08-20;2004-2011 : 50 boules / 9 etoiles;boule_1;27;boule
